Gene Name,ZT1,ZT4,ZT7,ZT10,ZT13,ZT16,ZT19,ZT22
Ccdc12,9.311,7.279,4.931,5.885,6.158,7.332,8.783,7.591
Arsg,9.911,8.257,6.088,2.717,3.357,5.256,5.621,8.984
Arhgap24,12.414,5.009,1.896,2.005,2.693,6.701,9.034,8.345
Spata25,13.46053773,6.452732003,2.593235039,2.272333044,2.020815265,2.281006071,6.313963573,7.536860364
Styxl1,6.708,6.496,5.13,4.2,3.591,3.574,4.919,5.115
Adamtsl2,5.056,1.957,1.477,3.357,3.393,3.495,4.341,3.935
Atf5,168.7598004,129.1375624,70.28510335,29.82893799,54.64005702,57.31290093,97.66215253,108.4390592
Smarcd1,9.641569678,8.342774745,4.173447317,4.459779586,4.363992172,6.008857761,8.529199712,9.59110104
Tas1r3,10.8109405,6.007677543,6.22840691,4.251439539,3.704414587,2.898272553,4.697696737,4.798464491
Sucnr1,21.79286101,13.65062196,13.22606814,11.31692807,8.788534343,11.79556517,19.27257977,17.68793943
Hes7,5.588599752,3.878562577,1.982651797,3.060718711,2.664188352,2.936802974,3.729863693,5.278810409
Cela1,6.207,3.522,1.557,1.526,1.454,3.18,4.09,5.607
Tshz2,12.514,11.114,9.582,8.414,7.54,8.357,7.729,8.591
Rhou,40.03646881,34.44668008,38.4582495,24.67052314,21.71906439,30.63506036,37.33274648,39.13103622
Fbxo4,8.81,7.944,7.785,6.263,6.607,5.65,7.001,7.05
Spg21,5.807,4.97,4.471,3.11,2.855,3.364,5.295,4.574
Apoa1bp,31.45970603,25.38773441,22.05778003,24.60212874,20.65382666,26.37100862,28.23618855,29.41713127
Fam13b,18.071,14.635,14.313,11.553,13.303,12.377,14.756,16.296
Ubxn1,37.22116301,34.69494757,24.35653003,23.06482364,24.81410867,21.16777884,27.392755,35.86749285
Phospho1,17.65821663,5.202978195,3.043786563,2.370147137,1.240914731,4.79879454,11.21077823,9.097677717
Zswim4,8.259,7.083,5.969,5.449,5.045,4.809,4.919,5.82
Cnksr3,14.316,11.074,10.859,8.428,10.79,9.907,13.626,11.427
Rnd1,18.40019179,17.38692664,10.14543711,6.062010548,9.611634969,11.17148793,12.83362634,14.54211283
C2cd2,30.335,23.01,22.297,21.667,19.91,17.476,28.507,29.199
Smagp,13.465,7.944,3.833,4.04,5.853,9.329,11.669,13.198
Lyrm2,37.87074148,30.97695391,25.80160321,32.54509018,21.76853707,25.01503006,34.07314629,34.41382766
Zmat1,13.215,12.835,11.099,11.48,8.402,8.094,10.565,11.755
Hist1h3c,25.02083333,18.75,18.70833333,7.5625,14.58333333,7.125,12.02083333,16.39583333
Arhgap18,5.406,3.991,3.234,1.991,2.855,2.68,3.639,3.705
6430573F11Rik,9.06,6.652,2.775,2.979,2.226,3.994,4.592,6.066
Hist1h4c,1363.75,1354.583333,1061.442308,886.7948718,802.724359,1003.173077,1233.814103,1200.705128
Rraga,94.77343265,85.50589696,73.60024829,84.15890751,60.51520795,58.55990068,71.96772191,92.30291744
Vtcn1,7.308,7.161,4.531,2.267,0.772,3.469,5.345,4.148
1700096K18Rik,60.8005521,47.52933057,41.60110421,30.08971705,30.72463768,38.08833678,47.10835059,40.05521049
Atad3aos,33.71375117,25.98690365,22.59120674,19.85032741,22.67539757,23.10570627,24.88306829,24.99532273
0610039K10Rik,84.21661409,63.36487907,62.13459516,39.72660358,55.31019979,52.22923239,83.38590957,66.5404837
2310001K24Rik,28.34422658,17.90849673,11.30718954,14.88017429,8.997821351,13.15904139,20.21786492,26.42701525
Atf5,118.3229297,91.68123179,46.68747399,26.60840616,41.16521015,41.22763213,71.84769039,97.63212651
2310015A10Rik,24.328,15.77,4.771,4.548,4.488,8.882,11.794,15.378
Gm15348,6.107,1.252,0.04,0.291,0.628,3.521,5.696,4.64
1810044D09Rik,57.28218466,46.81404421,37.89336801,41.95058518,34.55136541,33.14694408,33.61508453,39.01170351
Mir5131,710.5376344,706.8817204,489.3548387,426.5591398,413.1182796,517.0967742,669.1397849,546.4516129
Mir5133,1072.597403,818.1818182,663.6363636,575.5844156,445.3246753,658.7012987,736.4935065,958.1818182
