Gene Name,ZT1,ZT4,ZT7,ZT10,ZT13,ZT16,ZT19,ZT22
Hook2,10.612,10.8,13.434,13.238,7.63,7.595,8.08,8.181
Phldb2,11.964,12.131,15.71,11.422,10.269,7.91,11.217,9.05
Cbx4,35.28873556,37.79961002,56.61916904,49.69551522,34.46827659,29.40452977,34.10229489,36.76316184
Ccnb2,6.457,6.848,8.304,6.946,5.727,3.075,5.094,5.787
Ulk1,29.083,52.476,63.658,35.545,26.912,19.578,21.606,30.511
Avil,6.708,7.905,8.124,8.036,3.77,3.653,4.141,4.361
Ncoa1,5.606,6.339,7.625,5.885,5.583,5.072,5.496,6.148
Cpt1a,87.2,114.892,126.538,110.238,54.04,40.943,45.045,72.842
Prkar1a,24.028,24.497,27.268,21.362,18.384,19.263,17.541,22.166
Tcf25,20.173,20.153,23.974,23.193,17.899,15.925,16.362,18.624
Bsdc1,18.972,19.566,20.401,18.891,18.277,13.192,15.985,16.149
Rassf3,28.333,43.358,62.7,41.59,29.228,20.603,27.88,32.691
Flcn,27.231,33.497,39.964,32.231,15.404,16.95,18.394,19.001
Sned1,5.256,6.731,8.304,5.711,4.345,4.152,4.191,5.427
Adcy10,10.112,7.553,13.574,9.562,7.199,3.443,4.417,4.492
Trib3,3.563416739,5.73986195,11.96937015,3.009059534,2.711389129,1.870146678,2.327437446,2.085849871
Gm19619,3.804,5.987,9.282,6.002,3.196,2.549,3.137,5.115
Txnip,111.3834824,86.04418727,285.6180957,213.2719621,102.7511836,83.21935823,66.13361389,58.73224619
Ralgapa2,19.072,21.679,37.448,19.72,16.661,13.218,15.91,15.444
Kdm3a,13.866,12.757,16.928,12.744,13.716,10.301,10.239,12.067
Coq10b,19.322,28.136,69.028,59.217,38.079,29.774,17.717,26.937
Clk1,77.639,82.256,108.992,80.811,81.813,65.514,73.476,74.973
Gpcpd1,47.505,86.521,93.681,77.294,45.135,49.536,14.454,21.592
Gpcpd1,47.505,86.521,93.681,77.294,45.135,49.536,14.454,21.592
Cyb5d1,4.616714697,7.216138329,7.590778098,7.204610951,6.103746398,4.09221902,2.893371758,5.291066282
Ldlrad1,3.345211581,3.428359317,5.275426875,3.97030438,2.078693393,1.443207127,1.639198218,1.679287305
1810013L24Rik,25.179,29.701,38.746,34.004,22.926,22.889,19.95,25.92
Slc2a9,17.82,21.64,42.958,20.533,17.469,15.189,16.964,13.345
Nos1ap,4.655,5.987,8.963,6.699,5.566,6.491,4.668,3.345
Slc39a14,97.011,110.392,118.633,105.66,54.004,90.873,56.638,73.809
Ccdc157,7.158,7.553,9.582,9.547,8.977,5.466,6.223,5.755
Bcas3,4.405,5.361,5.549,5.043,4.381,4.047,3.714,3.345
Wipf3,2.753,4.696,10.121,7.135,5.637,3.469,3.036,2.902
Wwtr1,5.306,5.987,7.506,6.35,6.284,3.889,5.22,4.672
Ak4,12.114,11.622,37.389,26.753,13.986,13.534,13.124,10.345
Ak4,12.064,11.622,37.349,26.826,13.968,13.534,13.074,10.361
Ak4,12.064,11.622,37.329,26.738,13.95,13.534,13.074,10.361
Tfdp2,4.105,4.5,5.769,4.345,4.273,4.257,4.115,3.541
Dlg1,7.959,7.905,9.222,5.784,4.955,5.992,6.75,6.853
Agt,114.632,119.275,159.036,110.557,99.318,64.647,100.93,118.337
Dnmt3a,16.969,20.74,22.018,20.185,14.704,16.188,13.501,15.69
Gch1,43.2,46.567,78.35,34.876,39.12,31.798,27.704,22.198
Junb,112.3586957,111.8641304,152.8586957,142.1576087,59.52173913,58.27173913,57.14673913,96.85326087
Serpine1,1.141781681,0.714041291,7.513402532,2.651990419,0.880574883,0.270331927,0.343332953,0.561195392
Nptn,5.256,8.335,10.68,9.998,9.408,8.357,7.855,7.345
Ak4,11.713,11.74,37.508,27.044,13.86,13.324,13.175,10.329
Bcl2l11,3.704,5.752,12.297,7.847,4.973,4.415,4.592,3.672
Car11,4.827458256,13.3580705,69.17996289,49.66233766,49.56215213,29.54730983,17.2244898,3.710575139
Fcgrt,29.64892412,30.04756512,35.24462061,34.60928652,28.09966025,22.58890147,27.02718007,25.45526614
Fes,9.108560264,12.56807913,19.28196361,11.72914886,9.185492734,6.290145317,8.212235926,8.108438149
Gstt2,31.37897782,44.14657666,59.86499518,37.56027001,17.13596914,24.58052073,24.44551591,14.06943105
Igfbp4,210.7598039,280.6884058,308.0647911,271.4322251,245.7683291,174.6344842,193.9311594,230.3889599
Maff,7.296520906,2.998191297,18.73177998,10.29684009,6.570911799,2.823704649,2.136397489,1.622513033
Per3,0.951,1.996,19.203,17.438,19.066,13.534,4.366,1.164
Slc22a5,11.663,13.657,21.958,21.216,15.404,7.963,10.013,7.706
Nr1d2,6.157,11.505,25.092,18.673,15.314,8.383,2.008,2.426
Spry4,11.413,7.67,16.848,11.48,7.127,5.624,5.295,7.624
Cd52,7.819010417,8.151041667,9.225260417,8.138020833,5.729166667,7.1875,6.373697917,6.725260417
Rnf11,21.174,16.709,27.607,15.098,12.298,15.951,16.06,18.067
Dbp,3.892458573,22.10010145,169.6449104,140.0101454,37.15590125,18.04193439,13.32431518,3.216097396
Ccnl1,60.169,68.051,87.174,70.13,59.803,59.338,48.231,66.022
Sphk2,61.35113485,79.93591455,133.8424566,121.5300401,69.27369826,63.71695594,68.81708945,46.97463284
Sftpa1,6.581593194,10.44083527,32.88476411,18.09358082,19.1608662,3.758700696,4.949729312,3.488012374
Pla2g12a,4.555,6.848,7.546,2.776,2.388,1.682,3.312,2.935
Fkbp11,5.193883124,6.411796832,10.68268706,5.712725287,9.705079192,3.298743856,1.780447843,3.402512288
Tbc1d20,10.112,10.213,11.338,11.248,8.097,7.963,7.227,10.427
Camk2n1,61.16482041,64.49815374,85.77039275,62.14501511,48.03289695,45.95837529,44.81369587,50.24504867
Fam134b,18.822,27.979,30.761,8.022,12.639,6.202,12.673,14.017
Ptpmt1,44.26189584,50.58261521,66.30198576,45.62570251,39.25065568,41.55114275,40.75871113,44.71899588
Rffl,16.569,16.396,21.738,16.682,18.025,16.293,15.333,12.935
Spata1,4.105,4.97,5.45,4.897,3.627,3.364,3.338,4.558
Fbxl20,15.268,19.566,21.659,16.755,15.117,11.3,10.715,11.919
Brap,52.46,62.729,74.937,53.375,48.187,36.843,46.274,45.79
Acot12,35.591,51.028,51.043,39.991,40.072,26.621,28.884,30.363
Abcg5,24.078,50.128,61.782,28.904,18.115,4.783,20.979,36.019
Bcl3,33.388,37.058,59.546,45.266,24.632,28.723,25.069,31.789
Sgk3,4.405,4.813,6.088,4.461,4.883,3.627,3.488,3.804
Glcci1,6.708,6.966,10.141,8.763,7.612,7.253,5.922,6.23
Wwtr1,5.356,5.987,7.586,6.394,6.32,3.889,5.22,4.705
Unc45a,6.758,8.179,8.504,7.382,7.038,5.177,6.048,6.886
Ogt,13.766,15.418,21.798,21.216,19.013,15.347,14.831,14.345
Tmem106a,31.65031813,32.2640509,45.53817603,37.15800636,34.29347826,22.11956522,24.18345705,23.99257688
F11r,16.819,17.14,21.918,19.458,17.289,17.318,14.605,16.755
Slc39a10,14.467,16.162,17.487,15.316,9.282,12.194,10.063,10.706
Adc,2.503,3.561,5.49,3.488,1.4,1.577,1.531,1.328
Kdm3a,13.916,12.601,16.568,12.599,13.68,10.17,10.138,12.083
Zbtb10,7.008,6.535,9.602,7.077,3.806,4.467,2.56,4.836
4933408B17Rik,4.605,4.813,6.088,5.13,4.937,3.232,4.115,4.099
Pla2g12a,4.655,7.709,8.464,2.863,2.585,1.892,3.488,3.328
Snord7,36.45833333,36.66666667,74.89583333,51.45833333,63.54166667,46.5625,26.14583333,34.16666667
Mir150,130.9230769,102.3076923,175.0769231,96.15384615,69.07692308,48.46153846,88.76923077,110.9230769
Snora34,636.3559322,848.9830508,1481.949153,1119.40678,1387.542373,1251.610169,861.2711864,751.6949153
Gm16548,13.10596833,17.39951279,26.13885505,12.47868453,8.635809988,11.36419001,11.61388551,12.67965895
Gm16998,3.958860759,6.066455696,7.768987342,5.012658228,3.75,2.246835443,3.731012658,2.85443038
Cblb,6.207,6.887,9.542,7.455,8.384,3.469,5.722,5.918
D17Wsu92e,16.969,20.74,28.186,26.244,20.215,18.448,16.838,20.198
Sorbs1,9.06,11.192,12.556,9.358,11.059,7.516,8.708,6.919
Clmn,37.643,39.68,53.079,49.553,28.312,34.005,26.951,25.74
Slc1a2,33.188,37.176,56.672,37.957,35.745,30.063,31.82,33.609
Tmem134,15.31278749,15.6600736,16.52713891,19.6849126,15.56577737,12.08831647,12.12051518,12.70699172
Nasp,7.709,6.926,10.56,8.835,6.768,6.517,5.496,6.492
Slc39a14,85.198,99.67,113.543,100.69,48.438,80.625,53.451,68.054
Sos2,7.108,10.018,11.378,10.434,9.228,9.671,7.779,8.673
Fam76a,5.606,5.752,7.126,8.85,5.189,5.019,4.467,4.672
Sphk2,57.63455657,77.90519878,104.9373089,99.01070336,60.75076453,56.13455657,65.9587156,48.53211009
Prdx6,74.07730536,90.06184428,119.198233,94.84483711,87.45665378,70.14577581,84.4152402,66.81060188
Ints6,34.139,39.25,52.5,47.94,34.255,31.561,23.915,34.298
Hivep2,15.818,16.983,22.637,17.874,15.996,17.975,12.121,15.46
Slc1a2,33.188,37.176,56.672,37.957,35.745,30.063,31.82,33.609
Zfp259,65.78308484,95.00329859,120.9196464,105.8385011,71.08853411,52.39213617,48.83757752,95.00725689
Decr2,35.92033362,46.53724475,51.98590739,48.98188093,36.42795513,29.85475985,32.36985907,31.92119643
Dsc2,17.12,13.227,31.18,17.249,12.549,10.012,9.661,8.427
Klf10,23.42724098,26.14901048,85.65774156,52.98486612,16.30267753,23.55529686,11.80209546,14.31431898
Nasp,7.609,6.574,10.001,8.588,6.571,6.412,5.195,6.361
Ngef,9.461,11.505,18.585,17.264,6.014,8.252,8.131,4.558
Sec61a2,13.516,14.44,18.285,18.717,10.287,9.881,9.661,9.755
Pank1,51.059,51.38,77.213,66.468,31.849,50.009,44.041,30.363
Icam4,6.911130285,7.092320966,7.748058671,7.144089733,6.039689387,6.798964625,6.06557377,4.098360656
Narf,16.269,20.075,23.056,21.986,18.51,13.534,12.07,12.067
Tmem53,8.46,8.805,9.761,9.242,6.697,6.438,7.754,6.164
1110034G24Rik,12.464,20.701,25.252,15.505,12.944,9.539,7.503,9.411
Phlpp1,12.665,15.927,21.719,13.878,13.716,12.036,11.87,11.673
Ripk2,3.003,5.165,6.767,6.234,4.147,5.151,3.488,3.82
Nr1d1,21.03051997,70.03767898,160.6951771,65.23926149,35.98718915,10.09984928,2.552750565,3.027505652
Gtf2b,11.263,14.557,21.239,15.389,13.232,9.066,7.453,10.279
Gys2,25.629,43.867,169.496,58.127,21.921,21.391,24.191,17.723
Tcp11l2,21.074,14.675,30.162,14.808,14.219,10.012,6.775,7.443
Pnpla7,7.709,8.179,12.177,7.484,10.754,7.384,5.195,5.984
Tenc1,31.036,40.267,58.927,48.173,34.488,27.882,24.718,18.592
Sh3bgrl2,6.758,8.57,13.434,9.969,8.42,5.887,6.926,6.968
Podn,3.003,3.013,4.112,6.132,2.424,2.733,1.907,2.64
Fnip1,13.966,14.401,22.038,20.388,19.372,10.485,11.794,13.001
Zcchc11,7.509,8.335,10.56,8.588,7.558,5.887,6.073,5.902
Tmtc2,10.312,10.527,12.616,11.117,6.697,6.859,5.696,5.23
Pld6,1.133144476,4.21529745,6.900849858,4.611898017,2.23796034,4.169971671,1.705382436,2.226628895
Dedd2,19.272,18.392,27.547,25.474,26.409,16.845,15.358,17.887
0610043K17Rik,24.979,32.949,58.688,45.731,45.242,17.712,23.79,28.838
Pdp2,31.08219988,40.38143111,43.32347723,46.92193968,28.13424009,29.05972797,25.37551745,20.70076878
Fbrsl1,12.264,15.027,16.069,17.859,13.968,12.772,11.067,13.772
4930523C07Rik,12.464,15.496,17.247,17.583,14.291,11.037,10.439,9.804
Hmgb1,13.27034121,15.20209974,15.77165354,18.57480315,14.18372703,15.17322835,11.65879265,12.82414698
Prdx2,18.02700675,21.28282071,25.75768942,27.19804951,18.24831208,15.67141785,15.43510878,15.00375094
Atp5sl,17.88565796,20.25135535,20.90685067,24.63775259,18.22819123,17.22523411,17.25234105,14.5441104
Cnppd1,38.84943733,33.9386884,41.28637951,41.8975553,27.48350795,24.22002328,23.66317423,23.60302678
Rnf24,3.654,3.248,4.152,5.144,3.914,2.549,2.509,2.918
Atg2a,12.915,16.005,20.661,21.914,14.812,13.481,10.013,12.116
Gt(ROSA)26Sor,29.85348741,35.04539827,40.94510937,46.96037969,39.93809327,29.39125052,24.75237309,32.34213785
4930523C07Rik,12.464,15.496,17.247,17.583,14.291,11.037,10.439,9.804
Gm129,0.580046404,0.226218097,17.36658933,31.10208817,27.59860789,5.945475638,4.222737819,1.803944316
Gpx4,11.191067,18.46153846,11.88585608,27.0471464,15.58312655,13.69727047,10.5955335,10.17369727
Txnl4a,18.57179161,21.4815756,30.386277,35.78398983,30.0660737,35.66200762,26.91232529,26.41423126
Stk35,8.76,10.84,13.195,18.601,15.709,13.823,10.866,11.575
Rapgef1,10.412,12.953,18.026,18.295,16.733,16.109,15.433,12.444
Mtl5,7.909,9.353,11.358,12.207,2.962,1.708,2.183,5.984
Mtl5,8.91369863,9.863013699,12.38767123,12.95890411,2.804109589,1.979452055,2.475342466,6.693150685
Txnl4a,18.77392654,21.76151061,30.66994309,36.00879462,30.27935851,35.88980859,27.00206932,26.46145887
Isoc2a,18.121,23.91,35.492,43.929,30.413,23.021,13.576,16.132
Cfb,85.10021734,91.38130886,126.6843758,213.9917894,153.4774209,173.9459068,108.7152862,92.36657812
Lrp4,2.102,3.131,9.721,12.962,11.203,3.994,3.99,3.476
Tfeb,5.957,6.613,8.843,12.454,11.113,9.776,10.063,9.001
Tfeb,5.506,6.535,8.364,11.495,11.041,9.592,9.912,8.853
Lmo4,10.062,7.318,12.257,13.02,10.575,10.485,8.106,7.525
Lmo4,10.062,7.279,12.137,13.035,10.61,10.407,8.03,7.509
Klhl7,3.604,2.778,3.873,6.089,5.117,5.282,4.166,4.853
Sh3d21,4.255,3.522,4.551,5.333,3.339,2.917,2.735,3.066
Pcyt1a,8.86,9.235,12.895,14.009,13.896,11.431,11.493,10.607
Nr1h4,67.427,72.668,86.994,139.417,107.128,113.027,94.681,78.727
Homer2,2.353,4.07,10.5,11.843,11.58,8.725,5.621,6.328
Mgll,18.021,33.301,35.093,56.369,30.61,29.17,26.299,25.674
Mgll,18.171,32.988,34.873,55.845,30.521,29.249,26.5,25.527
Mgll,18.171,32.988,34.873,55.845,30.521,29.249,26.5,25.527
Ccdc85b,4.377342774,5.214493961,5.56851312,11.13702624,6.055810079,6.455643482,4.49396085,5.189504373
Hsf4,4.084054388,5.416563659,5.082818294,7.545117429,6.301606922,6.301606922,4.467243511,4.78368356
Adcy6,13.465,11.466,18.724,19.778,13.591,8.199,10.364,10.361
Adh1,186.114,157.037,242.018,289.079,287.954,272.226,226.527,189.425
Ddx5,106.8170712,114.036488,146.6167128,165.082261,157.8921648,149.5667047,108.5697996,124.0478905
Slc6a9,5.957,5.792,11.258,12.207,7.289,7.726,4.366,5.263
Gp5,8.748850046,10.44158234,10.28518859,12.03311868,7.930082797,7.010119595,7.387304508,7.994480221
Pgk1,6.507,9.392,15.071,30.923,24.614,19.657,11.995,16.755
Rps4x,13.65990203,15.61231631,16.06717985,21.25262421,17.83764871,16.55003499,17.38278516,15.82925122
Slbp,8.259,8.296,10.001,10.347,7.163,6.675,6.274,7.656
Tgfbr2,5.606,6.613,7.985,8.748,5.925,8.62,5.119,3.558
Adam2,1.952,3.326,6.188,6.699,3.698,0.893,2.886,1.885
Clcn2,8.66,10.409,11.698,14.779,11.041,11.589,10.941,10.083
Pcyt1a,8.96,9.118,12.835,13.95,13.914,11.326,11.493,10.509
Igfbp5,4.005,2.7,3.433,10.23,7.217,7.884,7.102,4.64
Ldb1,18.74327823,20.65325632,22.38398725,29.49213304,23.52718582,22.66281617,20.74088827,15.6403107
Lmo4,12.214,10.213,14.053,16.028,12.729,11.537,10.54,9.984
Zbtb7a,20.724,21.523,21.559,32.798,21.544,21.023,20.879,20.215
Prodh,24.929,43.554,49.745,55.7,51.921,47.119,51.644,37.97
Trex1,83.80022321,87.34933036,74.4140625,91.31138393,64.62053571,58.95089286,69.31919643,72.63950893
Baz1b,16.219,18.901,23.016,28.279,27.989,24.939,20.703,24.379
Impdh2,13.22570124,12.25375082,17.44944553,22.46575342,19.09001957,14.82713633,13.83235486,13.58121331
Anxa11,9.211,9.627,10.3,13.573,10,12.299,8.959,8.329
Tef,9.261,22.892,79.468,82.613,52.406,39.182,31.619,9.87
Ipo5,4.005,4.578,6.009,9.475,8.654,8.331,4.969,8.001
Osbpl5,1.452,1.096,3.294,8.08,7.81,3.81,4.241,2.377
Gtf3a,4.138765631,4.261799113,4.308188786,5.480032271,3.511496571,3.497377975,3.49334409,3.769665188
Lix1,4.055,4.461,7.086,7.484,6.858,3.627,4.241,3.525
Sdhd,20.89473684,24.50272232,25.323049,31.83303085,29.81306715,26.89836661,29.46642468,25.85662432
Sh3d21,4.405,3.639,4.272,5.435,3.357,3.048,2.886,3.082
Smarca2,29.434,28.371,41.281,46.981,36.804,33.9,28.005,26.297
L3hypdh,6.025692899,6.689257536,9.652033178,11.15719199,9.879627756,10.65951851,9.239328343,7.876795468
Decr1,50.057,50.324,48.308,67.834,34.812,34.242,32.547,34.347
Kdsr,9.461,9.196,10.28,12.192,9.228,8.698,7.102,6.968
Ist1,10.162,12.718,14.612,15.244,13.196,10.985,11.845,11.739
Ddhd2,8.009,10.409,23.236,24.37,8.115,10.039,8.256,7.689
Tmed5,21.09782001,24.14868642,25.95416434,27.74734489,17.16042482,15.3940749,13.99888206,16.2392398
Mospd3,11.70843776,11.93400167,12.42272348,13.04928989,12.82372598,7.46449457,11.31996658,8.696741855
Slc19a1,2.253,3.131,4.611,5.435,5.332,4.704,4.191,4.672
Sytl1,4.0060015,3.718429607,4.842460615,6.322830708,5.455113778,6.309077269,5.240060015,4.96124031
Peli2,7.809,6.966,9.961,10.23,8.725,8.83,7.704,6.738
Hsd17b11,7.459,9.079,13.933,15.433,11.005,7.516,9.41,7.361
Mrps21,11.57506702,13.37634048,14.38337802,19.86930295,18.47017426,14.57439678,14.8424933,14.22922252
Card10,5.206,5.909,5.829,6.394,4.955,3.889,4.065,4.64
Tor1a,19.89921613,27.89846958,27.23404255,41.79357969,34.04441956,28.83911907,31.47256439,26.62000747
Creb3l3,91.105,96.735,104.78,128.083,101.383,74.554,92.322,86.499
Trim41,18.10080107,21.76902537,22.45327103,33.16088117,28.98308856,28.09746328,23.08967512,24.7340899
Prr3,6.70318523,7.780482857,9.435991073,14.53438831,9.870156218,13.38202475,8.145668493,9.279772773
BC037034,10.03340292,9.64091858,10.25052192,13.4697286,11.84551148,10.42588727,10.16283925,7.941544885
Fam102a,10.412,11.348,22.617,31.49,31.311,18.579,16.311,12.542
Polr2b,6.407,6.692,7.366,12.337,11.347,9.671,7.829,7.771
Lrp4,2.102,3.131,9.721,12.962,11.203,3.994,3.99,3.476
Fbxo45,3.654,4.383,3.992,5.508,5.44,5.308,5.119,5.05
2310044G17Rik,10.812,14.753,17.746,22.074,21.58,19.525,16.136,18.821
Txnl4a,18.67249807,21.64394134,30.55569848,36.07666581,30.16207872,35.76537175,27.11602778,26.57319269
Usp2,3.333716123,4.448782729,32.87207166,50.39733578,45.66720257,23.65985301,32.50689022,19.18465779
A930007I19Rik,12.614,15.301,19.583,24.689,22.926,22.101,17.717,13.755
2810008D09Rik,23.12138728,27.16763006,42.71676301,52.89017341,46.70520231,48.61271676,46.41618497,36.01156069
2900005J15Rik,15.15151515,23.63636364,24.24242424,35.15151515,10.90909091,16.06060606,15.15151515,4.848484848
Prr3,6.722148667,7.548704369,9.476073388,14.56780783,9.678456592,13.32135427,7.974276527,9.116701343
Prr3,6.920847269,8.026755853,9.391304348,14.25641026,9.687848384,13.7703456,8.448160535,9.284280936
2310044G17Rik,10.512,14.205,17.167,21.812,20.79,19.131,15.684,18.346
Mir1938,30,35.2,39.9,52.3,23.3,18.4,12.5,24.6
Mir3067,5.952380952,9.285714286,9.523809524,24.16666667,19.28571429,6.30952381,2.976190476,3.928571429
Gdap10,17.04918033,19.24337957,33.98486759,54.60277427,40.30264817,36.78436318,21.84110971,17.57881463
Snora5c,9.900990099,7.722772277,17.82178218,28.81188119,14.25742574,12.97029703,9.900990099,4.851485149
Gm5506,20.28481675,29.62617801,55.62198953,65.71937173,30.86806283,35.82827225,24.88376963,29.56230366
Dnajb6,15.668,18.04,23.276,29.238,25.619,22.101,16.788,19.297
Dnajb6,15.668,18.04,23.276,29.238,25.619,22.101,16.788,19.297
Vamp1,7.83749471,9.191705459,11.82606856,14.97460855,10.14388489,9.898434194,10.1946678,7.769784173
Chd7,11.263,15.34,16.568,20.228,18.33,15.452,13.852,16.542
Ldb1,13.415,15.301,16.429,20.519,14.273,15.873,13.476,12.329
Ppara,52.911,68.403,119.711,145.622,88.115,70.691,65.471,62.939
4833420G17Rik,17.37,20.231,24.154,22.103,28.815,17.66,17.792,16.755
Dnajb6,15.668,18.04,23.276,29.238,25.619,22.101,16.788,19.297
Acot7,2.803,3.209,4.332,5.319,4.65,3.81,3.112,4.017
0610012H03Rik,8.159,9.627,16.309,18.848,17.738,15.294,8.306,7.607
Cmip,22.075,24.223,32.139,25.285,32.46,29.722,18.896,16.87
Slc5a6,1.652,2.504,6.547,9.794,4.363,3.285,2.208,2.656
Slc5a6,1.602,2.387,6.368,9.765,4.309,3.18,2.133,2.64
Ralbp1,4.305,6.026,5.969,6.699,6.176,5.414,5.797,4.935
Grn,35.13368984,34.35383244,47.81417112,41.6399287,53.76336898,35.95142602,32.76515152,28.31105169
Cdk18,9.211,11.857,15.989,20.882,16.75,12.745,9.636,12.853
Por,64.224,78.343,96.037,114.365,125.853,88.929,40.151,59.792
Ralbp1,4.205,5.87,5.809,6.714,5.943,5.019,5.395,4.656
Wee1,2.353,1.291,12.336,15.636,15.619,7.963,9.109,2.312
Ppara,53.111,67.542,118.534,144.387,88.205,70.901,65.246,61.956
Abca1,24.979,23.049,39.245,30.967,40.018,29.144,21.079,21.051
Ctsf,7.539640592,5.377906977,9.495243129,10.40697674,10.3435518,8.541226216,7.494714588,4.764799154
Yaf2,5.957,7.357,8.384,10.172,8.851,7.989,6.876,7.984
Rnf215,7.696503843,12.51673692,11.08604017,13.58294074,13.22092735,9.447061741,10.39176791,9.390032234
Oraov1,7.106997972,7.639452333,7.188133874,11.53144016,9.330628803,9.196247465,7.190669371,5.986308316
Glrx5,11.82577949,17.98778528,22.87528126,29.82481517,18.84281581,18.71102539,15.28608165,15.70395371
Ubald1,21.3407094,22.53823625,29.29710381,23.83338757,34.17832737,23.08818744,17.88480312,21.0218028
Tef,13.015,25.984,71.044,86.682,53.07,33.112,33.225,12.821
Atg14,13.065,15.418,17.487,18.179,19.354,17.344,12.372,11.329
Sel1l3,7.108,7.435,13.474,11.8,14.919,8.83,6.249,6.591
Zfp653,5.456,7.005,7.346,8.516,7.81,6.333,6.173,6.804
Slc5a6,1.702,2.739,7.226,10.535,4.955,3.548,2.585,2.918
Foxk1,10.812,11.348,15.071,15.912,16.822,11.721,10.113,9.919
Mir24-1,7.352941176,34.55882353,41.02941176,47.05882353,42.20588235,30.88235294,11.02941176,16.91176471
Med14,2.903,3.404,4.611,4.636,5.027,4.047,3.036,3.935
Ccpg1,3.504,4.813,4.99,5.667,6.858,4.625,4.617,3.951
Smarca2,20.824,21.21,34.454,40.398,44.381,26.174,24.542,20.133
Med14,2.903,3.404,4.611,4.636,5.027,4.047,3.036,3.935
Slc30a7,4.906,6.339,6.807,7.571,10.377,6.202,5.922,5.722
Ccpg1,3.504,4.813,4.99,5.667,6.858,4.625,4.617,3.951
Chd3,28.433,33.262,42.359,41.866,47.989,42.099,36.312,24.1
Wdr92,7.809,9.157,8.005,9.257,13.716,8.436,7.93,6.246
Vkorc1l1,9.411,7.944,14.073,14.517,20.7,14.243,10.188,13.854
Zmiz2,11.46492587,12.46957291,9.651471565,12.52489489,18.49413587,14.9159106,14.38260677,13.20535517
Mief2,11.75802662,10.72435395,16.64839468,17.01252937,17.50195771,15.84573218,13.16758027,13.86452623
Tpd52,3.154,3.131,3.154,4.708,5.009,4.31,3.187,3.623
Rab43,25.479,30.993,40.842,46.284,54.147,31.535,36.889,35.101
Ung,2.543923334,3.579207202,4.637723247,6.499201394,9.124437346,4.692899666,1.675620735,4.380717293
Gba,8.672707889,10.42910448,9.842750533,10.88219616,14.25906183,12.67857143,10.90085288,10.05063966
Focad,3.154,2.739,3.314,5.072,6.822,6.123,5.195,5.918
Lipa,19.873,15.457,13.973,16.929,50.79,20.13,43.188,30.904
Mitf,3.704,3.483,4.252,4.505,9.12,5.256,5.471,5.115
9-Sep,12.064,11.74,10.799,11.001,18.959,16.241,18.846,15.395
Guk1,7.429782724,3.730789613,8.039215686,10.62533121,12.75039746,8.494965554,7.980922099,7.387387387
Slc20a1,4.852262235,9.122807018,32.9478301,27.43998153,38.79039705,20.50323176,14.48291782,17.18144044
Sec16b,47.505,45.55,42.439,50.512,63.824,51.008,50.565,48.299
Rin3,9.511,8.218,8.144,8.254,13.411,10.17,12.02,11.509
Pcyt1a,8.91,9.353,12.975,13.878,14.129,11.458,11.594,10.64
Pradc1,4.571088165,3.57426529,5.075456712,6.060365369,8.482922955,5.738681493,6.080222399,5.861795075
2700089E24Rik,18.72047244,20.80708661,25.5511811,28.32677165,42.04724409,23.7992126,25.19685039,24.52755906
Syvn1,53.84346305,44.74420638,62.36554438,85.93790993,312.3196327,83.19195453,56.72933975,76.20244862
Slc17a3,24.178,24.066,38.207,30.72,56.23,52.427,50.415,32.986
Aven,2.803,2.583,3.653,4.025,6.679,5.965,4.642,5.607
Slc39a11,1.952,2.465,3.054,2.761,5.26,3.6,3.237,3.148
Sec14l1,5.156,4.931,6.268,8.21,8.366,6.885,5.571,6.853
Rnf145,6.758,8.139,13.075,11.451,13.95,9.382,8.206,8.443
Bag1,6.120036375,5.654238658,7.442659392,8.281297363,8.906739416,6.850560776,6.719207841,6.825300596
Igsf5,7.058,7.474,8.843,9.358,12.244,7.253,7.729,7.164
Igsf5,7.058,7.474,8.843,9.358,12.262,7.253,7.754,7.164
Dact1,4.017509728,4.187743191,6.456712062,7.103599222,9.670476654,9.362840467,4.485651751,2.35286965
4931406C07Rik,8.109,7.435,12.376,18.077,18.402,18.054,15.107,14.444
4931406C07Rik,8.66,7.748,12.636,18.266,18.797,18.474,15.458,14.69
Cep57l1,3.504,3.483,3.613,3.836,5.045,4.389,3.99,3.328
Aco1,14.116,18.744,18.585,22.001,32.388,25.806,24.869,21.559
Parp1,4.806,4.539,3.433,5.842,7.289,5.939,5.671,5.394
Alpl,1.452,2.504,11.817,11.306,19.479,4.362,6.198,3.968
Slc25a5,24.26839827,30.15584416,32.66666667,34.72727273,36.83982684,28.21645022,23.03030303,27.39393939
Tfb2m,7.509,7.67,9.462,11.771,14.506,11.09,7.829,9.591
Il12rb1,1.151,1.644,3.354,4.287,5.296,1.892,1.732,2.902
Mertk,11.213,13.148,11.718,14.009,18.528,14.191,16.236,13.722
Lypla1,12.965,15.888,15.95,18.615,19.928,16.267,14.906,15.968
Shmt1,12.364,17.375,21.818,22.51,41.005,36.186,27.403,26.773
Srm,5.429087624,1.770551039,6.314363144,18.50948509,20.92140921,15.42908762,5.438121048,10.37037037
Ext1,16.118,20.231,22.757,25.561,32.334,28.276,17.441,20.067
Fkbp7,2.917544947,2.911345319,3.068815871,3.062616243,5.253564786,4.203347799,4.698078115,3.414755115
Srsf2,87.74624374,89.1736227,136.1352254,157.687813,162.8964942,127.8881469,93.42237062,124.6744574
