FLASH,DESS,FISP,PSIF,Class
106,126,161,124,GM
104,126,170,120,GM
105,124,180,128,GM
105,121,175,118,GM
111,101,152,126,GM
103,124,166,107,GM
106,103,159,131,GM
105,126,163,106,GM
116,118,167,120,GM
105,102,164,133,GM
105,118,174,117,GM
110,100,163,136,GM
100,120,181,109,GM
125,104,162,167,GM
107,112,184,123,GM
133,104,156,146,GM
106,121,181,103,GM
136,107,151,136,GM
109,126,177,110,GM
114,104,180,124,GM
115,107,175,117,GM
115,106,164,115,GM
115,104,154,119,GM
118,105,151,127,GM
122,107,152,131,GM
122,107,155,126,GM
118,108,157,115,GM
116,111,156,115,GM
119,111,156,126,GM
123,110,156,131,GM
120,108,156,133,GM
116,102,156,128,GM
119,103,163,121,GM
116,108,169,118,GM
115,111,169,119,GM
113,132,148,138,GM
109,146,127,255,GM
112,185,128,294,GM
108,210,140,242,GM
103,158,137,317,GM
116,138,144,285,GM
131,119,175,331,GM
123,131,161,278,GM
125,135,158,209,GM
111,138,154,232,GM
117,132,147,253,GM
120,120,165,316,GM
122,147,163,336,GM
118,144,169,346,GM
123,132,182,307,GM
139,119,192,281,GM
122,169,184,133,GM
127,217,195,163,GM
131,184,177,203,GM
135,143,183,272,GM
125,173,159,213,GM
137,136,161,245,GM
152,118,178,247,GM
116,201,177,150,GM
124,169,178,169,GM
142,113,195,439,GM
135,144,173,271,GM
124,119,177,434,GM
117,146,157,308,GM
131,133,205,189,GM
108,145,201,159,GM
123,133,218,113,GM
119,144,215,106,GM
131,145,205,125,GM
131,140,212,216,GM
112,148,219,123,GM
115,149,221,144,GM
164,115,204,122,WM
172,108,206,105,WM
174,111,192,96,WM
174,114,196,112,WM
164,120,199,109,WM
171,105,191,109,WM
170,112,187,100,WM
165,117,195,89,WM
165,117,197,78,WM
173,110,203,106,WM
169,108,197,84,WM
169,116,201,89,WM
172,103,186,101,WM
168,109,193,94,WM
164,118,195,112,WM
159,123,200,94,WM
168,115,209,111,WM
172,116,202,132,WM
165,113,193,76,WM
159,107,198,75,WM
171,111,201,72,WM
166,106,189,74,WM
167,111,200,79,WM
166,114,194,106,WM
163,124,196,99,WM
169,125,205,118,WM
170,120,200,132,WM
162,119,193,144,WM
166,111,198,87,WM
156,113,192,90,WM
169,115,192,81,WM
157,112,190,66,WM
167,116,196,77,WM
166,110,187,91,WM
166,122,185,94,WM
173,128,195,116,WM
174,121,197,140,WM
159,121,195,148,WM
165,118,186,111,WM
172,118,181,87,WM
159,109,184,84,WM
172,118,184,95,WM
166,113,179,97,WM
162,123,176,102,WM
170,123,185,110,WM
176,120,193,140,WM
161,122,194,141,WM
168,109,203,113,WM
174,115,179,115,WM
166,121,178,111,WM
155,129,178,120,WM
160,116,177,119,WM
167,119,186,127,WM
163,120,189,129,WM
157,115,197,102,WM
170,119,192,115,WM
159,120,187,118,WM
158,125,183,112,WM
153,130,188,132,WM
152,116,176,151,WM
155,120,179,116,WM
163,116,185,122,WM
155,116,189,98,WM
159,116,194,111,WM
132,130,182,113,WM
155,118,193,128,WM
155,121,182,168,WM
152,119,177,122,WM
163,114,189,123,WM
161,113,185,109,WM
155,113,194,107,WM
146,117,182,125,WM
164,121,188,140,WM
161,115,181,145,WM
166,116,193,124,WM
166,110,184,126,WM
159,111,190,110,WM
166,120,181,91,WM
175,105,185,150,WM
166,122,190,123,WM
162,109,181,135,WM
164,112,185,121,WM
178,108,183,124,WM
164,128,180,121,WM
155,112,177,132,WM
167,116,182,131,WM
158,119,189,121,WM
161,129,175,117,WM
154,118,177,122,WM
166,119,182,130,WM
157,121,195,116,WM
158,122,183,108,WM
159,129,185,115,WM
163,120,184,117,WM
156,121,194,107,WM
157,113,191,104,WM
161,137,192,115,WM
158,118,183,103,WM
154,122,184,104,WM
157,136,191,117,WM
155,117,180,100,WM
156,124,174,107,WM
153,126,182,118,WM
155,118,176,112,WM
164,124,175,109,WM
161,117,175,94,WM
157,110,175,120,WM
157,120,175,128,WM
171,119,184,108,WM
165,118,181,113,WM
165,101,176,123,WM
161,124,177,134,WM
170,114,191,108,WM
163,121,187,123,WM
169,107,180,129,WM
165,128,178,128,WM
162,113,191,111,WM
155,124,190,120,WM
164,115,182,137,WM
168,129,178,117,WM
156,115,189,113,WM
152,126,188,113,WM
164,130,178,112,WM
156,120,191,112,WM
157,127,183,111,WM
156,129,180,115,WM
159,123,193,108,WM
164,126,179,114,WM
159,125,192,108,WM
36,52,99,150,CSF
23,58,80,155,CSF
30,54,66,149,CSF
15,42,63,125,CSF
32,49,80,153,CSF
23,58,57,138,CSF
28,54,52,135,CSF
14,52,61,111,CSF
33,62,51,104,CSF
30,55,67,107,CSF
29,61,52,126,CSF
20,65,50,154,CSF
21,78,60,156,CSF
34,67,58,178,CSF
32,65,63,184,CSF
32,89,63,212,CSF
13,94,60,219,CSF
29,119,64,222,CSF
36,74,67,324,CSF
34,72,64,307,CSF
30,111,77,306,CSF
16,110,71,276,CSF
33,147,70,267,CSF
37,79,65,390,CSF
33,76,68,371,CSF
29,102,80,363,CSF
28,111,76,326,CSF
32,157,74,301,CSF
29,82,70,377,CSF
28,92,70,387,CSF
38,128,73,375,CSF
32,170,75,342,CSF
28,215,94,327,CSF
25,101,67,367,CSF
27,118,58,391,CSF
38,173,70,399,CSF
34,200,77,384,CSF
20,215,92,386,CSF
28,132,63,353,CSF
28,166,56,373,CSF
30,220,71,391,CSF
37,237,81,413,CSF
23,228,92,418,CSF
30,205,67,339,CSF
27,249,76,373,CSF
38,258,87,415,CSF
28,219,78,318,CSF
35,258,84,362,CSF
34,250,94,392,CSF
24,215,76,324,CSF
46,250,94,341,CSF
89,37,72,48,MUS
93,37,75,43,MUS
82,41,75,38,MUS
91,32,57,42,MUS
91,37,75,45,MUS
90,34,69,43,MUS
90,41,72,28,MUS
84,35,74,31,MUS
92,41,67,33,MUS
90,39,86,33,MUS
92,31,51,42,MUS
95,41,67,37,MUS
90,40,70,39,MUS
93,44,75,22,MUS
86,36,81,19,MUS
88,43,66,30,MUS
94,41,89,28,MUS
106,50,78,41,MUS
106,49,86,44,MUS
80,28,36,35,MUS
94,40,49,32,MUS
95,46,66,32,MUS
95,48,76,26,MUS
83,42,88,21,MUS
86,43,76,30,MUS
89,44,89,29,MUS
104,48,80,37,MUS
105,49,86,47,MUS
87,49,79,51,MUS
105,45,86,54,MUS
106,46,105,41,MUS
97,46,97,39,MUS
94,49,91,39,MUS
108,42,95,22,MUS
85,30,34,33,MUS
96,44,54,26,MUS
96,47,66,31,MUS
89,46,81,30,MUS
90,43,80,35,MUS
89,46,87,34,MUS
88,47,83,40,MUS
91,49,85,42,MUS
79,48,80,36,MUS
97,46,84,45,MUS
109,46,104,49,MUS
105,45,92,55,MUS
106,49,96,37,MUS
104,43,94,21,MUS
100,42,92,50,MUS
102,49,94,51,MUS
104,52,105,53,MUS
89,42,53,30,MUS
100,43,65,39,MUS
95,42,75,41,MUS
100,45,83,40,MUS
81,45,82,53,MUS
84,49,86,37,MUS
86,45,82,21,MUS
93,47,86,30,MUS
104,47,100,40,MUS
106,47,87,53,MUS
112,47,96,31,MUS
101,45,94,37,MUS
106,39,91,53,MUS
106,48,95,55,MUS
101,51,106,49,MUS
98,62,111,56,MUS
90,54,105,56,MUS
93,39,69,36,MUS
107,40,78,40,MUS
88,45,78,58,MUS
92,46,91,37,MUS
101,43,84,24,MUS
96,45,91,21,MUS
100,51,98,23,MUS
101,49,85,40,MUS
111,44,96,28,MUS
105,45,94,49,MUS
109,43,93,48,MUS
109,50,95,61,MUS
106,53,104,54,MUS
104,61,106,58,MUS
95,48,99,49,MUS
100,52,107,49,MUS
100,47,106,56,MUS
93,44,77,49,MUS
105,46,94,38,MUS
106,48,88,35,MUS
99,43,94,26,MUS
100,52,97,22,MUS
98,49,87,30,MUS
109,46,98,33,MUS
112,52,95,49,MUS
105,52,96,41,MUS
110,51,96,60,MUS
110,56,103,58,MUS
109,58,99,63,MUS
107,47,95,47,MUS
109,50,96,47,MUS
108,46,99,38,MUS
93,48,101,47,MUS
95,52,92,40,MUS
99,45,92,34,MUS
101,52,95,35,MUS
98,50,91,33,MUS
109,48,103,44,MUS
116,56,97,44,MUS
98,56,97,35,MUS
107,50,97,51,MUS
108,58,100,56,MUS
104,54,98,62,MUS
116,53,102,55,MUS
107,50,90,47,MUS
105,44,92,35,MUS
97,45,95,50,MUS
99,41,81,65,MUS
115,42,88,60,MUS
113,56,84,61,MUS
100,52,91,48,MUS
94,51,89,37,MUS
108,51,104,50,MUS
115,58,101,45,MUS
94,56,96,30,MUS
98,49,98,41,MUS
104,60,99,53,MUS
96,53,102,52,MUS
117,56,110,59,MUS
100,52,97,48,MUS
100,49,97,44,MUS
91,43,97,51,MUS
89,43,86,54,MUS
110,40,96,49,MUS
108,54,88,51,MUS
103,51,97,36,MUS
111,57,104,51,MUS
94,57,93,26,MUS
94,54,102,36,MUS
104,60,98,53,MUS
92,57,106,38,MUS
108,52,107,49,MUS
98,55,108,47,MUS
103,55,108,50,MUS
87,46,105,47,MUS
94,48,105,44,MUS
104,43,112,39,MUS
97,54,101,37,MUS
101,50,102,23,MUS
107,58,99,55,MUS
93,58,109,36,MUS
97,50,101,37,MUS
104,54,111,46,MUS
109,58,113,46,MUS
96,52,110,45,MUS
110,51,119,44,MUS
101,49,123,40,MUS
89,56,119,34,MUS
104,55,112,32,MUS
85,53,90,47,MUS
89,50,105,74,MUS
87,62,112,45,MUS
89,57,123,44,MUS
94,55,111,45,MUS
92,52,102,35,MUS
108,50,108,43,MUS
112,57,112,42,MUS
111,55,110,44,MUS
119,50,118,45,MUS
105,50,122,51,MUS
92,59,130,44,MUS
108,60,123,54,MUS
94,55,110,46,MUS
103,49,121,48,MUS
91,56,117,35,MUS
94,56,125,69,MUS
105,57,131,74,MUS
110,55,135,69,MUS
95,57,111,45,MUS
107,50,109,40,MUS
112,54,114,44,MUS
114,54,113,49,MUS
112,49,112,42,MUS
111,46,118,57,MUS
104,56,130,55,MUS
111,59,129,58,MUS
103,57,127,45,MUS
118,53,140,40,MUS
98,54,128,35,MUS
99,50,129,76,MUS
100,59,125,60,MUS
107,58,136,78,MUS
104,64,133,62,MUS
118,53,121,48,MUS
104,55,123,49,MUS
102,51,114,41,MUS
113,43,120,53,MUS
110,54,126,53,MUS
112,54,129,42,MUS
106,56,127,38,MUS
123,58,144,53,MUS
105,60,133,47,MUS
105,47,135,66,MUS
97,59,122,46,MUS
106,63,134,72,MUS
109,67,136,56,MUS
112,58,127,70,MUS
113,61,139,76,MUS
99,62,128,43,MUS
107,57,123,48,MUS
110,45,129,47,MUS
102,58,128,39,MUS
106,51,129,25,MUS
97,53,118,31,MUS
119,57,132,66,MUS
107,58,126,64,MUS
106,48,136,58,MUS
95,57,126,42,MUS
109,66,128,59,MUS
109,64,133,52,MUS
109,58,131,59,MUS
117,62,143,71,MUS
113,52,127,60,MUS
104,58,133,44,MUS
93,64,136,31,MUS
103,60,136,27,MUS
90,53,122,33,MUS
112,54,125,67,MUS
106,52,115,74,MUS
102,52,133,52,MUS
97,57,130,47,MUS
113,64,124,53,MUS
102,56,125,60,MUS
105,60,132,49,MUS
114,61,142,56,MUS
113,54,129,51,MUS
108,70,139,39,MUS
97,58,137,40,MUS
111,56,136,57,MUS
107,53,118,66,MUS
104,58,131,47,MUS
105,57,130,53,MUS
110,62,123,58,MUS
96,50,119,68,MUS
105,57,127,50,MUS
106,58,136,42,MUS
119,59,126,49,MUS
105,61,130,60,MUS
100,54,120,64,MUS
108,55,122,56,MUS
102,58,129,41,MUS
121,64,122,50,MUS
262,49,130,111,FAT
254,41,130,130,FAT
235,35,113,121,FAT
268,43,116,105,FAT
259,42,103,91,FAT
251,34,106,122,FAT
253,34,138,160,FAT
269,40,148,142,FAT
290,50,157,163,FAT
283,47,146,143,FAT
229,34,112,135,FAT
271,34,107,138,FAT
249,45,77,68,FAT
224,31,77,110,FAT
216,31,120,150,FAT
249,44,129,131,FAT
286,47,126,103,FAT
272,42,97,118,FAT
279,40,117,138,FAT
271,52,113,160,FAT
235,32,117,159,FAT
266,30,116,163,FAT
237,47,85,88,FAT
204,37,72,102,FAT
183,32,92,130,FAT
209,41,106,123,FAT
246,43,104,81,FAT
227,37,74,114,FAT
201,26,87,141,FAT
207,41,112,158,FAT
217,46,139,156,FAT
250,50,144,157,FAT
251,31,125,172,FAT
266,29,131,162,FAT
238,45,117,131,FAT
214,40,93,108,FAT
181,37,89,108,FAT
174,33,102,114,FAT
199,44,103,82,FAT
192,37,76,126,FAT
145,24,82,154,FAT
168,39,122,158,FAT
199,42,143,143,FAT
251,53,127,149,FAT
294,58,123,213,FAT
309,48,139,101,FAT
278,36,141,156,FAT
261,44,154,159,FAT
250,42,119,122,FAT
217,38,111,124,FAT
168,26,109,130,FAT
180,42,113,120,FAT
189,34,97,144,FAT
140,30,105,156,FAT
188,46,131,158,FAT
215,39,148,148,FAT
263,58,117,152,FAT
285,71,103,210,FAT
271,45,131,120,FAT
223,46,120,138,FAT
279,48,105,194,FAT
279,49,131,138,FAT
263,39,130,159,FAT
203,28,122,145,FAT
211,41,134,147,FAT
222,36,128,145,FAT
198,39,139,148,FAT
253,49,131,153,FAT
252,35,147,162,FAT
277,55,114,160,FAT
281,70,95,181,FAT
239,46,121,148,FAT
202,42,132,161,FAT
270,42,121,185,FAT
253,35,138,204,FAT
260,45,130,137,FAT
270,49,140,144,FAT
266,44,138,142,FAT
271,42,154,144,FAT
307,45,131,149,FAT
283,33,145,182,FAT
285,46,117,166,FAT
279,52,111,147,FAT
233,45,128,171,FAT
217,47,139,170,FAT
271,46,136,173,FAT
281,38,138,199,FAT
250,34,161,159,FAT
260,37,153,133,FAT
269,47,120,145,FAT
294,41,143,147,FAT
313,43,131,148,FAT
293,37,137,190,FAT
292,43,119,168,FAT
282,37,139,136,FAT
246,42,153,192,FAT
259,52,145,156,FAT
290,56,139,169,FAT
296,43,145,206,FAT
265,34,167,149,FAT
287,40,157,161,FAT
301,52,148,161,FAT
295,50,124,135,FAT
284,34,144,145,FAT
259,44,168,205,FAT
294,50,147,144,FAT
311,68,137,179,FAT
299,47,155,208,FAT
276,39,166,151,FAT
327,47,152,179,FAT
308,52,162,184,FAT
285,49,155,151,FAT
300,49,102,99,FAT
274,59,79,165,FAT
288,50,154,188,FAT
284,43,155,152,FAT
338,50,151,186,FAT
322,49,165,184,FAT
298,48,176,174,FAT
331,46,145,125,FAT
306,61,104,147,FAT
268,46,124,145,FAT
269,40,132,150,FAT
296,44,156,188,FAT
312,42,171,183,FAT
322,48,178,177,FAT
335,49,171,156,FAT
325,55,140,149,FAT
311,49,144,159,FAT
224,44,156,155,FAT
221,32,141,176,FAT
271,36,170,180,FAT
324,46,172,166,FAT
323,53,164,154,FAT
320,48,161,154,FAT
316,50,166,168,FAT
289,42,176,191,FAT
273,61,134,146,FAT
210,38,132,158,FAT
281,43,153,157,FAT
301,54,155,137,FAT
299,41,160,161,FAT
291,48,180,160,FAT
310,43,180,200,FAT
307,65,146,170,FAT
308,66,106,81,FAT
202,42,103,149,FAT
261,51,150,137,FAT
278,39,161,177,FAT
280,50,185,152,FAT
290,48,172,183,FAT
321,58,156,178,FAT
322,62,102,69,FAT
292,55,184,163,FAT
279,55,168,176,FAT
312,50,167,175,FAT
309,53,119,99,FAT
259,49,126,166,FAT
245,64,109,152,FAT
292,61,164,193,FAT
299,55,176,177,FAT
300,50,155,140,FAT
274,50,156,179,FAT
267,67,124,182,FAT
267,56,109,166,FAT
281,60,167,176,FAT
305,58,167,164,FAT
303,53,172,185,FAT
281,65,145,176,FAT
287,53,148,214,FAT
